model,date,season,y,yhat
LDEO,2016-10-01,SON,-0.63,-0.14
LDEO,2016-11-01,OND,-0.57,-0.28
LDEO,2016-12-01,OND,-0.43,-0.39
LDEO,2017-01-01,DJF,-0.2,-0.02
LDEO,2017-02-01,JFM,-0.03,0.11
LDEO,2017-03-01,FMA,0.2,0.08
LDEO,2017-04-01,MAM,0.3,0.21
LDEO,2017-05-01,AMJ,0.44,0.27
LDEO,2017-06-01,MJJ,0.47,0.5
LDEO,2017-07-01,JJA,0.26,0.41
LDEO,2017-08-01,JAS,-0.07,0.24
LDEO,2017-09-01,ASO,-0.35,0.29
LDEO,2017-10-01,SON,-0.58,0
LDEO,2017-11-01,OND,-0.7,-0.46
LDEO,2017-12-01,NDJ,-0.79,-0.56
LDEO,2018-01-01,DJF,-0.81,-0.4
LDEO,2018-02-01,JFM,-0.79,-0.15
LDEO,2018-03-01,FMA,-0.68,-0.07
LDEO,2018-04-01,MAM,-0.41,-0.18
LDEO,2018-05-01,AMJ,-0.1,-0.1
LDEO,2018-06-01,MJJ,0.12,-0.01
LDEO,2018-07-01,JJA,0.27,0.07
LDEO,2018-08-01,JAS,0.31,0.24
LDEO,2018-09-01,ASO,0.51,0.52
LDEO,2018-10-01,SON,0.74,0.48
LDEO,2018-11-01,OND,0.95,0.47
LDEO,2018-12-01,NDJ,0.82,0.55
LDEO,2019-01-01,DJF,0.71,0.83
